['facebook/bart-large-mnli_TREC-perturbed-char-insertion_score'],['facebook/bart-large-mnli_TREC-perturbed-char-insertion_label']
0.9878775477409363,positive
0.9986899495124817,negative
0.9960855841636658,positive
0.9870215654373169,positive
0.9931465983390808,negative
0.6198967695236206,positive
0.9233927726745605,negative
0.8135111927986145,negative
0.9739262461662292,positive
0.956700325012207,negative
0.9897395968437195,positive
0.9746453762054443,negative
0.9929395318031311,negative
0.7405872344970703,negative
0.9879014492034912,negative
0.9760255217552185,positive
0.9167584180831909,negative
0.973459780216217,positive
0.9914759993553162,negative
0.9650647044181824,negative
0.7147992253303528,negative
0.661498486995697,negative
0.7924190759658813,positive
0.9908421635627747,positive
0.9469273090362549,positive
0.7636104822158813,negative
0.8288764953613281,negative
0.6488448977470398,negative
0.9718812108039856,negative
0.9974913597106934,negative
0.9766198396682739,positive
0.5161778330802917,positive
0.9728174805641174,positive
0.8368926048278809,negative
0.9970007538795471,negative
0.8666680455207825,negative
0.9954062104225159,positive
0.5109937191009521,positive
0.5674835443496704,negative
0.995591938495636,positive
0.9952687621116638,positive
0.8976881504058838,positive
0.9528082609176636,negative
0.9852502346038818,positive
0.9694259166717529,negative
0.5056268572807312,negative
0.6367533206939697,negative
0.7019445300102234,positive
0.9867525100708008,positive
0.9846920371055603,negative
0.9349857568740845,negative
0.9875827431678772,positive
0.764735758304596,positive
0.6365914344787598,positive
0.9775965809822083,negative
0.7762058973312378,positive
0.9860792756080627,negative
0.9688490629196167,negative
0.9744377732276917,negative
0.9946929216384888,negative
0.6709043979644775,positive
0.8778392672538757,negative
0.6175330281257629,negative
0.9967312812805176,positive
0.7743976712226868,negative
0.8641413450241089,negative
0.5886212587356567,negative
0.9972942471504211,positive
0.9241054058074951,positive
0.9958069920539856,negative
0.6112699508666992,negative
0.9851451516151428,positive
0.5265066027641296,positive
0.9445466995239258,negative
0.9562825560569763,negative
0.8757327198982239,positive
0.9867819547653198,negative
0.5714213252067566,positive
0.8416208624839783,positive
0.9981648325920105,negative
0.9759092926979065,positive
0.9206417798995972,negative
0.9826095104217529,negative
0.985870897769928,positive
0.993206262588501,positive
0.8442602157592773,positive
0.995689332485199,negative
0.5823591947555542,negative
0.9345202445983887,negative
0.6561388373374939,positive
0.9547713398933411,positive
0.9444496631622314,positive
0.9255400896072388,negative
0.9863475561141968,negative
0.9330409169197083,positive
0.9028706550598145,negative
0.7492419481277466,negative
0.9925607442855835,positive
0.9935728311538696,negative
0.9384593367576599,negative
0.9334485530853271,positive
0.8165414333343506,negative
0.6600487232208252,positive
