['facebook/bart-large-mnli_TREC-perturbed-word-repetition_score'],['facebook/bart-large-mnli_TREC-perturbed-word-repetition_label']
0.9928712844848633,positive
0.9983972311019897,negative
0.9964631795883179,positive
0.9882735013961792,positive
0.9866055846214294,negative
0.9891050457954407,positive
0.8364112973213196,negative
0.6319919228553772,negative
0.9778980612754822,positive
0.9566261768341064,negative
0.9919402599334717,positive
0.9736862182617188,negative
0.9929768443107605,negative
0.7254997491836548,negative
0.9828060269355774,negative
0.9782323241233826,positive
0.9409498572349548,negative
0.9783735275268555,positive
0.980341911315918,negative
0.9659959077835083,negative
0.7120113372802734,negative
0.6985726356506348,negative
0.6664007306098938,positive
0.9932661652565002,positive
0.9315195083618164,positive
0.8155712485313416,negative
0.8678088784217834,negative
0.6450509428977966,negative
0.9596123099327087,negative
0.9966347813606262,negative
0.9778956770896912,positive
0.6060438752174377,negative
0.9916585683822632,positive
0.8411184549331665,negative
0.9975562691688538,negative
0.7673386335372925,negative
0.9949358105659485,positive
0.5422136187553406,negative
0.6250925064086914,positive
0.9963574409484863,positive
0.9960623979568481,positive
0.956209659576416,positive
0.9675003290176392,negative
0.9855074286460876,positive
0.9487603902816772,negative
0.5851060748100281,positive
0.8319892883300781,positive
0.5476377010345459,positive
0.9770866632461548,positive
0.987171471118927,negative
0.9392581582069397,negative
0.9894543290138245,positive
0.751707136631012,positive
0.6915992498397827,positive
0.9816244840621948,negative
0.9183576703071594,positive
0.9909491539001465,negative
0.9323188662528992,negative
0.9566283226013184,negative
0.994817852973938,negative
0.8544440865516663,positive
0.8741289973258972,negative
0.5062559843063354,positive
0.9968347549438477,positive
0.761707067489624,negative
0.8263527154922485,negative
0.5027281045913696,negative
0.9952260851860046,positive
0.8745831251144409,positive
0.9965378046035767,negative
0.8296512365341187,negative
0.9852692484855652,positive
0.765661895275116,positive
0.9335883259773254,negative
0.9626384973526001,negative
0.9431295394897461,positive
0.9916439056396484,negative
0.7798119187355042,positive
0.757976233959198,negative
0.9982243776321411,negative
0.973908543586731,positive
0.9239040613174438,negative
0.9853084683418274,negative
0.9873330593109131,positive
0.9945290088653564,positive
0.7763074636459351,positive
0.9948436617851257,negative
0.5918827056884766,negative
0.9614571928977966,negative
0.9065943956375122,positive
0.9579563140869141,positive
0.844061017036438,positive
0.9431353211402893,negative
0.991310179233551,negative
0.9675530791282654,positive
0.915755033493042,negative
0.7982250452041626,negative
0.9934750199317932,positive
0.994103193283081,negative
0.9519477486610413,negative
0.9536411762237549,positive
0.9324607253074646,negative
0.6405306458473206,positive
0.9901876449584961,positive
0.5052148103713989,positive
0.7753737568855286,negative
0.978081226348877,positive
0.9553730487823486,negative
0.9911300539970398,negative
0.9736875891685486,positive
0.9976335763931274,negative
0.9798943400382996,negative
0.9130895733833313,negative
0.9922006726264954,negative
0.616957426071167,negative
0.7465164661407471,positive
0.9900969862937927,positive
0.9627834558486938,negative
0.941935658454895,negative
0.9806210994720459,negative
0.8749807476997375,positive
0.9643889665603638,negative
0.9850847125053406,positive
0.6544152498245239,positive
0.6713138222694397,positive
0.9926553964614868,positive
0.8346729278564453,negative
0.9783238768577576,negative
0.9860249161720276,positive
0.9962181448936462,positive
0.9887747764587402,negative
0.9779457449913025,negative
0.6138525605201721,positive
0.8192980885505676,negative
0.9951855540275574,negative
0.9238092303276062,negative
0.9206447601318359,negative
0.9955512881278992,negative
0.9966930150985718,positive
0.5295015573501587,negative
0.973048746585846,negative
0.9710468649864197,negative
0.9926079511642456,positive
0.5610365867614746,positive
0.9915218353271484,negative
0.9955683350563049,negative
0.9710694551467896,positive
0.9603142142295837,negative
0.9359142780303955,negative
0.8641351461410522,positive
0.9971238374710083,positive
0.9884568452835083,positive
0.9638369083404541,positive
0.9651241898536682,negative
0.6222032904624939,positive
0.9958255887031555,negative
0.9918208122253418,positive
0.9797430634498596,negative
0.8503984808921814,negative
0.7718702554702759,negative
0.9602770209312439,negative
0.9926566481590271,negative
0.813910186290741,negative
0.9612196087837219,negative
0.8946154117584229,positive
0.9447218179702759,negative
0.6574082374572754,negative
0.9566652774810791,negative
0.9792770147323608,positive
0.9890642762184143,positive
0.9970043897628784,positive
0.972277820110321,positive
0.6463354825973511,positive
0.79481440782547,negative
0.8959428071975708,positive
0.9797149300575256,negative
0.9311652779579163,negative
0.9933977127075195,negative
0.9940319657325745,negative
0.9923719167709351,positive
0.9955728650093079,negative
0.9959229230880737,negative
0.9831705689430237,negative
0.8061445355415344,positive
0.9739241003990173,negative
0.9907688498497009,positive
0.7665536999702454,positive
0.9379244446754456,positive
0.995425820350647,negative
0.8699893355369568,negative
0.9862626791000366,negative
0.989416241645813,positive
0.9619625806808472,positive
0.5663789510726929,negative
0.7450253367424011,positive
0.6613821983337402,positive
0.5327878594398499,positive
0.9960817694664001,negative
0.9932650923728943,positive
0.9793742895126343,negative
0.5806806683540344,negative
0.603320300579071,positive
0.9449707269668579,negative
0.9982978701591492,negative
0.7701700925827026,positive
0.9750176072120667,positive
0.9963500499725342,positive
0.9702945351600647,positive
0.6255306601524353,negative
0.9911624789237976,negative
0.9901840686798096,positive
0.9585422277450562,negative
0.990494966506958,negative
0.8321605920791626,negative
0.9314635992050171,negative
0.9553354978561401,positive
0.928108274936676,positive
0.9347357749938965,negative
0.7069808840751648,negative
0.9596785306930542,positive
0.7482844591140747,positive
0.9979989528656006,negative
0.9912375807762146,positive
0.8252723813056946,positive
0.7077970504760742,negative
0.9809389710426331,positive
0.9935200810432434,negative
0.9893447756767273,positive
0.9415506720542908,positive
0.8186920881271362,negative
0.9398761987686157,negative
0.9419361352920532,positive
0.9204612374305725,negative
0.9895626306533813,negative
0.9808182120323181,positive
0.7249062061309814,negative
0.6836928129196167,positive
0.9722718596458435,negative
0.9865063428878784,negative
0.9709693789482117,positive
0.9344214200973511,positive
0.8790690898895264,negative
0.9918921589851379,negative
0.9151284098625183,negative
0.9966641664505005,positive
0.9562920331954956,positive
0.5222272276878357,positive
0.988682746887207,negative
0.7997101545333862,positive
0.9870393872261047,negative
0.9881337881088257,positive
0.980830729007721,negative
0.9923166036605835,positive
0.9343485832214355,positive
0.9883540868759155,negative
0.980365514755249,negative
0.9867319464683533,negative
0.9846099615097046,negative
0.9241670966148376,negative
0.8936398029327393,positive
0.9826616644859314,negative
0.6373512148857117,positive
0.9974424839019775,negative
0.9883323907852173,positive
0.5981538891792297,negative
0.9396633505821228,negative
0.8193524479866028,negative
0.9869883060455322,negative
0.9525700211524963,negative
0.9701138138771057,negative
0.9777824878692627,positive
0.9960188269615173,negative
0.9853867888450623,negative
0.9244630932807922,negative
0.9859139323234558,negative
0.9457254409790039,positive
0.9825711846351624,positive
0.9833681583404541,positive
0.684673547744751,negative
0.5546745657920837,negative
0.9928086400032043,positive
0.9913690686225891,negative
0.9256553053855896,negative
0.9942810535430908,positive
0.9563155174255371,negative
0.9822154641151428,negative
0.9498079419136047,positive
0.9699783325195312,positive
0.9894556403160095,positive
0.9878464341163635,positive
0.9390785694122314,positive
0.868897557258606,negative
0.7450681924819946,negative
0.9898930788040161,positive
0.9842435121536255,positive
0.506578803062439,positive
0.9745146036148071,negative
0.8530240058898926,negative
0.9835615158081055,negative
0.9908204078674316,positive
0.9764316082000732,positive
0.7705664038658142,positive
0.9862216711044312,positive
0.9959861636161804,positive
0.9933784604072571,positive
0.9334558248519897,negative
0.9952177405357361,positive
0.9560920000076294,positive
0.8248245120048523,positive
0.9969630241394043,positive
0.7049458622932434,negative
0.9977894425392151,positive
0.5356078743934631,positive
0.9892066121101379,positive
0.9617168307304382,positive
0.990825355052948,negative
0.9871070981025696,positive
0.9944457411766052,positive
0.9948163032531738,negative
0.9911329746246338,negative
0.9635107517242432,positive
0.8394071459770203,negative
0.5469769239425659,negative
0.9774376153945923,negative
0.9729726910591125,negative
0.6333613991737366,negative
0.8384436964988708,positive
0.9947401285171509,positive
0.9882088899612427,negative
0.9976994395256042,negative
0.9335156083106995,negative
0.72600919008255,positive
0.9610824584960938,positive
0.981066882610321,positive
0.9873781204223633,positive
0.9940481781959534,negative
