['facebook/bart-large-mnli_TREC_score'],['facebook/bart-large-mnli_TREC_label']
0.9937690496444702,positive
0.9986567497253418,negative
0.9962173700332642,positive
0.9905537962913513,positive
0.9891425967216492,negative
0.9887933135032654,positive
0.9511632919311523,negative
0.618347704410553,negative
0.9772016406059265,positive
0.9617452621459961,negative
0.9929986000061035,positive
0.9762842059135437,negative
0.9928973913192749,negative
0.7131980061531067,negative
0.9877637028694153,negative
0.9767731428146362,positive
0.930593729019165,negative
0.9758874773979187,positive
0.9845207333564758,negative
0.9677194356918335,negative
0.6957093477249146,negative
0.6220879554748535,negative
0.6005927324295044,positive
0.9907446503639221,positive
0.9555782079696655,positive
0.8087952733039856,negative
0.8538181185722351,negative
0.6225986480712891,negative
0.9566216468811035,negative
0.9970307946205139,negative
0.9757928252220154,positive
0.5493020415306091,negative
0.9935354590415955,positive
0.8161992430686951,negative
0.997525155544281,negative
0.7826090455055237,negative
0.9960581064224243,positive
0.5670413374900818,negative
0.5880051255226135,positive
0.9968394041061401,positive
0.9958956241607666,positive
0.9348722100257874,positive
0.9683517813682556,negative
0.9873673319816589,positive
0.966589629650116,negative
0.5230224132537842,negative
0.8661052584648132,positive
0.5039274096488953,negative
0.9748901724815369,positive
0.9870143532752991,negative
0.9184598326683044,negative
0.989019513130188,positive
0.7934101819992065,positive
0.7101700901985168,positive
0.9813635349273682,negative
0.9458354711532593,positive
0.991914689540863,negative
0.9647873640060425,negative
0.9677917957305908,negative
0.9951371550559998,negative
0.8852864503860474,positive
0.8484119772911072,negative
0.5392465591430664,negative
0.9968879818916321,positive
0.7975736260414124,negative
0.8587706685066223,negative
0.506993293762207,negative
0.9960042834281921,positive
0.9121741652488708,positive
0.9968417286872864,negative
0.8398849964141846,negative
0.9881431460380554,positive
0.6352362036705017,positive
0.9484415054321289,negative
0.9616943001747131,negative
0.9261325001716614,positive
0.9934448599815369,negative
0.8567284941673279,positive
0.7815459966659546,negative
0.9982541799545288,negative
0.9734859466552734,positive
0.9256558418273926,negative
0.9904796481132507,negative
0.9900578856468201,positive
0.9941567182540894,positive
0.8106403350830078,positive
0.994971513748169,negative
0.5916820764541626,negative
0.9629591107368469,negative
0.9306615591049194,positive
0.9689831733703613,positive
0.8747835755348206,positive
0.954494833946228,negative
0.9898311495780945,negative
0.9727172255516052,positive
0.9116680026054382,negative
0.7670450210571289,negative
0.9942877292633057,positive
0.9943735599517822,negative
0.9278857707977295,negative
0.9544746279716492,positive
0.9153591990470886,negative
0.6996967792510986,positive
0.9944837689399719,positive
0.5635862350463867,positive
0.8098747730255127,negative
0.9773507714271545,positive
0.9572188258171082,negative
0.992669403553009,negative
0.9816115498542786,positive
0.9973792433738708,negative
0.9778634905815125,negative
0.9016707539558411,negative
0.9946887493133545,negative
0.6609910130500793,negative
0.5129676461219788,positive
0.9901655316352844,positive
0.9179981350898743,negative
0.9366453886032104,negative
0.9788253307342529,negative
0.9171547293663025,positive
0.9607402682304382,negative
0.9839667677879333,positive
0.6904264092445374,positive
0.6878833770751953,positive
0.9929485321044922,positive
0.9463170170783997,negative
0.9796003699302673,negative
0.9864243865013123,positive
0.99666428565979,positive
0.9912341237068176,negative
0.9733182191848755,negative
0.5028243064880371,positive
0.8158790469169617,negative
0.995701253414154,negative
0.9249843955039978,negative
0.9334235191345215,negative
0.9967707395553589,negative
0.9970423579216003,positive
0.5036751627922058,negative
0.9686627388000488,negative
0.9766122102737427,negative
0.9931097030639648,positive
0.5984253287315369,positive
0.9900359511375427,negative
0.995729386806488,negative
0.9710472226142883,positive
0.9558473825454712,negative
0.9425117373466492,negative
0.8721451759338379,positive
0.9968971610069275,positive
0.9863682389259338,positive
0.9653233289718628,positive
0.9705857634544373,negative
0.6564937829971313,positive
0.9962164759635925,negative
0.9927611351013184,positive
0.9790647029876709,negative
0.8594780564308167,negative
0.6691934466362,negative
0.9544235467910767,negative
0.995316743850708,negative
0.8197482228279114,negative
0.9627499580383301,negative
0.897691011428833,positive
0.9479067325592041,negative
0.6615197658538818,negative
0.9295133948326111,negative
0.9759925007820129,positive
0.989704966545105,positive
0.9972538948059082,positive
0.9733715057373047,positive
0.5178252458572388,negative
0.8315445184707642,negative
0.8986526727676392,positive
0.9523335099220276,negative
0.9191546440124512,negative
0.9940978288650513,negative
0.9943150281906128,negative
0.9927576184272766,positive
0.9908688068389893,negative
0.9956395626068115,negative
0.9794161319732666,negative
0.7953650951385498,positive
0.9775868058204651,negative
0.9917234182357788,positive
0.708414614200592,positive
0.9461407661437988,positive
0.9952625632286072,negative
0.8748072981834412,negative
0.986462414264679,negative
0.9909130334854126,positive
0.9553430080413818,positive
0.5535547733306885,negative
0.8046092987060547,positive
0.6799471974372864,positive
0.602590799331665,positive
0.9957408308982849,negative
0.9919489622116089,positive
0.9729551672935486,negative
0.5768805742263794,negative
0.8466862440109253,positive
0.9407084584236145,negative
0.9976885318756104,negative
0.9493895769119263,positive
0.9878450036048889,positive
0.9967266917228699,positive
0.9712276458740234,positive
0.6336211562156677,negative
0.9915845394134521,negative
0.9908149838447571,positive
0.9572621583938599,negative
0.9928116798400879,negative
0.8448849320411682,negative
0.9332937002182007,negative
0.9592772722244263,positive
0.9227007031440735,positive
0.9327022433280945,negative
0.7502790093421936,negative
0.9656715393066406,positive
0.7703383564949036,positive
0.997681200504303,negative
0.9879356026649475,positive
0.8600714802742004,positive
0.7092640995979309,negative
0.9850997924804688,positive
0.9950286149978638,negative
0.9916806817054749,positive
0.9416996836662292,positive
0.851813018321991,negative
0.9283141493797302,negative
0.9472161531448364,positive
0.9372776746749878,negative
0.9909217357635498,negative
0.9427229166030884,positive
0.7252488136291504,negative
0.5808571577072144,positive
0.9757177233695984,negative
0.971787691116333,negative
0.971549391746521,positive
0.9084135293960571,positive
0.889066219329834,negative
0.9931547045707703,negative
0.9103908538818359,negative
0.9970325231552124,positive
0.9657794237136841,positive
0.5172988772392273,negative
0.9863718748092651,negative
0.8653196096420288,positive
0.9843528270721436,negative
0.9882627725601196,positive
0.9793292284011841,negative
0.9931694269180298,positive
0.9342597126960754,positive
0.9892157316207886,negative
0.9799609184265137,negative
0.9877514243125916,negative
0.9836785197257996,negative
0.9307138323783875,negative
0.8837375044822693,positive
0.9856292009353638,negative
0.710939347743988,positive
0.9975910782814026,negative
0.9870292544364929,positive
0.616134762763977,negative
0.9377862811088562,negative
0.8834762573242188,negative
0.989227831363678,negative
0.9573996663093567,negative
0.97658371925354,negative
0.9732903838157654,positive
0.9959476590156555,negative
0.9880020618438721,negative
0.9190524220466614,negative
0.9784284234046936,negative
0.9778578877449036,positive
0.9837793707847595,positive
0.9811481237411499,positive
0.6767838001251221,negative
0.6491653919219971,negative
0.9931987524032593,positive
0.9904956817626953,negative
0.8944019675254822,negative
0.9957160353660583,positive
0.923416256904602,negative
0.9707371592521667,negative
0.9492442607879639,positive
0.9728531837463379,positive
0.9891816973686218,positive
0.9843419194221497,positive
