['facebook/bart-large-mnli_TREC-perturbed-char-deletion_score'],['facebook/bart-large-mnli_TREC-perturbed-char-deletion_label']
0.9858893752098083,positive
0.9983468651771545,negative
0.9958751797676086,positive
0.9903176426887512,positive
0.9918486475944519,negative
0.987398624420166,positive
0.9038365483283997,negative
0.6990736126899719,negative
0.9748636484146118,positive
0.9647918939590454,negative
0.9926161766052246,positive
0.973975419998169,negative
0.9935015439987183,negative
0.861517608165741,negative
0.9783825874328613,negative
0.9755455255508423,positive
0.9197458624839783,negative
0.976773738861084,positive
0.8908385634422302,negative
0.9693836569786072,negative
0.7088420391082764,negative
0.9889297485351562,negative
0.8780601620674133,positive
0.9852572679519653,positive
0.9446781277656555,positive
0.8459405303001404,negative
0.8392820954322815,negative
0.6998558044433594,negative
0.95843905210495,negative
0.9973991513252258,negative
0.9614761471748352,positive
0.5054144263267517,positive
0.9965614676475525,positive
0.7865504026412964,negative
0.9971004724502563,negative
0.9800647497177124,negative
0.9951250553131104,positive
0.8015452027320862,positive
0.7073262333869934,negative
0.9968897104263306,positive
0.9962740540504456,positive
0.9340018033981323,positive
0.9551298022270203,negative
0.9851148128509521,positive
0.9408571124076843,negative
0.5918743014335632,negative
0.7004638910293579,positive
0.8204444646835327,positive
0.8169100880622864,positive
0.9875375628471375,negative
0.885103166103363,negative
0.9896730184555054,positive
0.6777942180633545,positive
0.5255775451660156,negative
0.9840595126152039,negative
0.967212438583374,positive
0.9892289042472839,negative
0.9713895320892334,negative
0.9433308243751526,negative
0.9949924349784851,negative
0.9420509934425354,positive
0.8560729026794434,negative
0.8747737407684326,negative
0.9971669316291809,positive
0.7676025032997131,negative
0.8686795234680176,negative
0.5020493268966675,negative
0.9969061613082886,positive
0.5394884347915649,negative
0.9843350052833557,negative
0.7197220325469971,negative
0.9868480563163757,positive
0.6453760862350464,positive
0.9458308219909668,negative
0.966499924659729,negative
0.9049885869026184,positive
0.9944128394126892,negative
0.8744694590568542,positive
0.7826639413833618,negative
0.9983121752738953,negative
0.9805089831352234,positive
0.8980650901794434,negative
0.977593719959259,negative
0.9874027371406555,positive
0.9939053654670715,positive
0.8163155913352966,positive
0.9944126009941101,negative
0.5207736492156982,negative
0.9423109292984009,negative
0.8924773931503296,positive
0.9398802518844604,positive
0.8514715433120728,positive
0.924509584903717,negative
0.5381984114646912,negative
0.9540306925773621,positive
0.9153138995170593,negative
0.7847517728805542,negative
0.9927993416786194,positive
0.9940442442893982,negative
0.9347178936004639,negative
0.9378466606140137,positive
0.9300710558891296,negative
0.7179973125457764,positive
0.9947736859321594,positive
0.5491241812705994,positive
0.7874513864517212,negative
0.9646700620651245,positive
0.9579867720603943,negative
0.9920586943626404,negative
0.9834096431732178,positive
0.996697723865509,negative
0.9813812375068665,negative
0.5783814787864685,negative
0.9873788356781006,negative
0.6598015427589417,negative
0.6912616491317749,positive
0.9865559339523315,positive
0.8953176140785217,negative
0.9379722476005554,negative
0.9679572582244873,negative
0.8839958310127258,positive
0.8865233063697815,negative
0.9145007133483887,positive
0.8281911015510559,positive
0.6682762503623962,positive
0.9885359406471252,positive
0.9325210452079773,negative
0.9782630205154419,negative
0.9863997101783752,positive
0.9980348348617554,positive
0.9932574033737183,negative
0.9656813144683838,negative
0.620521605014801,positive
0.8193482160568237,negative
0.9949963688850403,negative
0.930756151676178,negative
0.669914186000824,positive
0.9966546893119812,negative
0.9968182444572449,positive
0.597222089767456,negative
0.97588050365448,negative
0.9654786586761475,negative
0.9903497099876404,positive
0.708442211151123,positive
0.9913550615310669,negative
0.9946171045303345,negative
0.9694671630859375,positive
0.9685649871826172,negative
0.9541520476341248,negative
0.8554423451423645,positive
0.9964974522590637,positive
0.9849794507026672,positive
0.9699406027793884,positive
0.9868441224098206,negative
0.5292329788208008,positive
0.9946696162223816,negative
0.9924865961074829,positive
0.9854906797409058,negative
0.8699450492858887,negative
0.7019809484481812,positive
0.9035021066665649,negative
0.9959474205970764,negative
0.8205806016921997,negative
0.9651830196380615,negative
0.8372834324836731,positive
0.9581905007362366,negative
0.6611653566360474,negative
0.9569829702377319,negative
0.9943233728408813,positive
0.988284170627594,positive
0.9976773858070374,positive
0.9595041275024414,positive
0.6415534019470215,positive
0.8246888518333435,negative
0.8630456924438477,positive
0.9215620160102844,negative
0.9461908936500549,negative
0.9934956431388855,negative
0.9927824139595032,negative
0.9926290512084961,positive
0.9900126457214355,negative
0.995612621307373,negative
0.9835760593414307,negative
0.7780168652534485,positive
0.9657254219055176,negative
0.9909198880195618,positive
0.6164635419845581,positive
0.928619384765625,positive
0.9939419627189636,negative
0.8635609745979309,negative
0.9859729409217834,negative
0.991818368434906,positive
0.8973186016082764,positive
0.555754542350769,negative
0.7517551183700562,positive
