['facebook/bart-large-mnli_TREC-perturbed-word-deletion_score'],['facebook/bart-large-mnli_TREC-perturbed-word-deletion_label']
0.9894112348556519,positive
0.9985576868057251,negative
0.9857119917869568,positive
0.9867282509803772,positive
0.9838067889213562,negative
0.9964182376861572,positive
0.9648969769477844,negative
0.6798139810562134,negative
0.9628565907478333,positive
0.9377925992012024,negative
0.993649423122406,positive
0.9469121098518372,negative
0.9934179186820984,negative
0.8457552790641785,negative
0.659199059009552,negative
0.9740002751350403,positive
0.921740710735321,negative
0.9749795794487,positive
0.9847127795219421,negative
0.9792934060096741,negative
0.6394472718238831,negative
0.620633602142334,negative
0.718178391456604,positive
0.9938302040100098,positive
0.7642601728439331,positive
0.8251379728317261,negative
0.8391712307929993,negative
0.7503032088279724,negative
0.9664095640182495,negative
0.9978269934654236,negative
0.940605103969574,positive
0.6791937947273254,positive
0.9858668446540833,positive
0.7882177829742432,negative
0.99759840965271,negative
0.6228209733963013,negative
0.9965640902519226,positive
0.5699761509895325,positive
0.6057654023170471,positive
0.9958958625793457,positive
0.9927746653556824,positive
0.9292497038841248,positive
0.9735535979270935,negative
0.9865217208862305,positive
0.97505122423172,negative
0.5452324151992798,negative
0.9616296887397766,positive
0.6807076334953308,positive
0.9854043126106262,positive
0.9901230931282043,negative
0.8517784476280212,negative
0.9897555708885193,positive
0.8260846734046936,positive
0.7655073404312134,positive
0.9774475693702698,negative
0.9530469179153442,positive
0.992119312286377,negative
0.9303765892982483,negative
0.9871617555618286,negative
0.994875431060791,negative
0.9098825454711914,positive
0.7517664432525635,negative
0.581221342086792,negative
0.9940070509910583,positive
0.7353051900863647,negative
0.5543593168258667,negative
0.516278862953186,positive
0.9962474703788757,positive
0.6289831399917603,negative
0.9946302175521851,negative
0.8874062895774841,negative
0.9898732304573059,positive
0.5703073740005493,negative
0.9634714126586914,negative
0.9566881060600281,negative
0.8610622882843018,positive
0.9933356046676636,negative
0.8547440767288208,positive
0.7933375239372253,negative
0.9983727335929871,negative
0.6873833537101746,negative
0.9124062061309814,negative
0.9887211322784424,negative
0.9912897944450378,positive
0.994468092918396,positive
0.8710827231407166,positive
0.9958665370941162,negative
0.6328457593917847,negative
0.9571566581726074,negative
0.8858064413070679,positive
0.9939660429954529,positive
0.7984939813613892,positive
0.9548318982124329,negative
0.9831857085227966,negative
0.9689242243766785,positive
0.8979430198669434,negative
0.7297722697257996,negative
0.9936014413833618,positive
0.9946280121803284,negative
0.5499164462089539,negative
0.9184780120849609,positive
0.9922110438346863,positive
0.7324498891830444,positive
0.9956353306770325,positive
0.8372915387153625,positive
0.7858431935310364,negative
0.9701864123344421,positive
0.9464051127433777,negative
0.9925868511199951,negative
0.9760006070137024,positive
0.9975995421409607,negative
0.9808432459831238,negative
0.9517552256584167,negative
0.7611015439033508,positive
0.6506000757217407,negative
0.5938231348991394,negative
0.9886422157287598,positive
0.7932954430580139,negative
0.8899064064025879,negative
0.9798201322555542,negative
0.9320621490478516,positive
0.9601346850395203,negative
0.762931764125824,negative
0.5445809960365295,negative
0.6969360113143921,positive
0.9926385283470154,positive
0.9635257124900818,negative
0.9825681447982788,negative
0.9881265163421631,positive
0.9966920018196106,positive
0.9882845282554626,negative
0.9324581623077393,negative
0.9842792749404907,negative
0.8161696195602417,negative
0.9954304695129395,negative
0.9418626427650452,negative
0.604704737663269,negative
0.9953173995018005,negative
0.9969459772109985,positive
0.7040578126907349,negative
0.9793641567230225,negative
0.959658145904541,negative
0.99415123462677,positive
0.5132055878639221,positive
0.9934263825416565,negative
0.9912537336349487,negative
0.9004554748535156,positive
0.9456023573875427,negative
0.9300974011421204,negative
0.5806708335876465,positive
0.9900989532470703,positive
0.9732325077056885,positive
0.9463902115821838,positive
0.9808927178382874,negative
0.7075724005699158,positive
0.9961743950843811,negative
0.9907565116882324,positive
0.9804208278656006,negative
0.8333209753036499,negative
0.875067949295044,positive
0.9582911729812622,negative
0.9875515699386597,negative
0.8375349044799805,negative
0.9450689554214478,negative
0.8894354104995728,positive
0.9427703022956848,negative
0.6407771706581116,negative
0.989690363407135,negative
0.9399803280830383,positive
0.9929704666137695,positive
0.9973707795143127,positive
0.8946232795715332,positive
0.7560104727745056,positive
0.7956504225730896,negative
0.9183642268180847,positive
0.9517198204994202,positive
