['MoritzLaurer/deberta-v3-large-zeroshot-v2.0_TREC-perturbed-char-deletion_score'],['MoritzLaurer/deberta-v3-large-zeroshot-v2.0_TREC-perturbed-char-deletion_label']
0.999612033367157,positive
0.9997760057449341,negative
0.997645914554596,positive
0.9996392130851746,positive
0.9995444416999817,negative
0.9990150332450867,positive
0.9972754716873169,negative
0.9433718919754028,negative
0.9989147782325745,positive
0.9993578195571899,negative
0.9994888305664062,positive
0.9997010231018066,negative
0.9996269345283508,negative
0.6303501129150391,positive
0.9997665882110596,negative
0.9995151162147522,positive
0.9934111833572388,negative
0.9996065497398376,positive
0.9772660136222839,negative
0.9993674159049988,negative
0.8593193292617798,positive
0.571395218372345,positive
0.9895968437194824,positive
0.9992280602455139,positive
0.9994978308677673,positive
0.9922902584075928,negative
0.9868237972259521,negative
0.9914005994796753,positive
0.9996609687805176,negative
0.9998441338539124,negative
0.9993300437927246,positive
0.9979997277259827,negative
0.9993019700050354,positive
0.9986290335655212,negative
0.9994974136352539,negative
0.9920550584793091,negative
0.997610330581665,positive
0.5584375858306885,positive
0.9971984624862671,positive
0.9996039867401123,positive
0.9992252588272095,positive
0.9990513324737549,positive
0.9958639740943909,positive
0.9977311491966248,positive
0.9931057095527649,negative
0.9929486513137817,negative
0.9987185001373291,negative
0.9987769722938538,positive
0.9984757900238037,positive
0.9995128512382507,negative
0.9996910095214844,negative
0.9995169043540955,positive
0.9730583429336548,positive
0.9976040124893188,positive
0.999313235282898,negative
0.9964436292648315,positive
0.9922143816947937,negative
0.9719991087913513,negative
0.9987447261810303,negative
0.9995680451393127,negative
0.9895363450050354,positive
0.9993192553520203,negative
0.8301315903663635,positive
0.9994649291038513,positive
0.9849725365638733,negative
0.9827078580856323,negative
0.9850867986679077,positive
0.9996474981307983,positive
0.9885765910148621,positive
0.866783082485199,positive
0.9913545250892639,negative
0.9996030926704407,positive
0.9982582926750183,positive
0.9979901909828186,positive
0.9997625946998596,negative
0.9862874150276184,positive
0.9998160004615784,negative
0.9992674589157104,positive
0.5669878721237183,positive
0.9998493194580078,negative
0.9991066455841064,positive
0.9941994547843933,negative
0.9991492629051208,negative
0.9994326829910278,positive
0.9995859861373901,positive
0.9982060194015503,positive
0.9995602369308472,negative
0.8649771213531494,positive
0.9963601231575012,negative
0.9995169043540955,positive
0.9990450739860535,positive
0.9542151093482971,positive
0.9901704788208008,negative
0.8724276423454285,negative
0.9992392063140869,positive
0.9797214865684509,negative
0.874778687953949,negative
0.9997113943099976,positive
0.9998530745506287,negative
0.9962244033813477,negative
0.995723307132721,positive
0.9997296333312988,negative
0.9094591736793518,positive
0.9992825388908386,positive
0.9800477623939514,positive
0.9982078671455383,negative
0.9947062134742737,positive
0.9996663928031921,negative
0.9992762804031372,negative
0.999470591545105,positive
0.9997130036354065,negative
0.9997605681419373,negative
0.9958023428916931,positive
0.9990901350975037,negative
0.996894896030426,positive
0.998679518699646,positive
0.9992730617523193,positive
0.9979863166809082,positive
0.9975568652153015,negative
0.9909196496009827,negative
0.9975331425666809,positive
0.9948217272758484,negative
0.9997774958610535,positive
0.9975985288619995,positive
0.9720087647438049,positive
0.9997779130935669,positive
0.9931904077529907,negative
0.9979051351547241,negative
0.9991294741630554,positive
0.9995307922363281,positive
0.9995875954627991,negative
0.9954510927200317,negative
0.9987539649009705,positive
0.9990185499191284,negative
0.9997838139533997,negative
0.9916616678237915,negative
0.7580938935279846,negative
0.999773383140564,negative
0.9995705485343933,positive
0.9526723623275757,negative
0.9980235695838928,negative
0.9990130066871643,negative
0.9996700882911682,positive
0.9229431748390198,positive
0.9996907114982605,negative
0.9989233016967773,negative
0.99781334400177,positive
0.9635728597640991,negative
0.999150812625885,negative
0.995316207408905,positive
0.9998432993888855,positive
0.9908459782600403,positive
0.9986776113510132,positive
0.9996925592422485,negative
0.9929149150848389,positive
0.9997510313987732,negative
0.9993476271629333,positive
0.9994759559631348,negative
0.9965470433235168,negative
0.9881075024604797,positive
0.9995328187942505,negative
0.9995508790016174,negative
0.9890390038490295,negative
0.998585045337677,negative
0.9826553463935852,positive
0.9980542063713074,negative
0.5392471551895142,positive
0.9223715662956238,negative
0.9995301365852356,positive
0.9996092319488525,positive
0.9997343420982361,positive
0.9990606307983398,positive
0.9971904158592224,positive
0.9980337619781494,negative
0.9983351826667786,positive
0.998708963394165,positive
0.9447463154792786,negative
0.9936935901641846,negative
0.9933944344520569,negative
0.9994531273841858,positive
0.9771254062652588,negative
0.9994221925735474,negative
0.9988645911216736,negative
0.9351955652236938,positive
0.9992706179618835,negative
0.9997009634971619,positive
0.9927871823310852,positive
0.9978618621826172,positive
0.999849796295166,negative
