['MoritzLaurer/deberta-v3-large-zeroshot-v2.0_TREC-perturbed-word-deletion_score'],['MoritzLaurer/deberta-v3-large-zeroshot-v2.0_TREC-perturbed-word-deletion_label']
0.9996069073677063,positive
0.9997848868370056,negative
0.9982190728187561,positive
0.9995811581611633,positive
0.9994267225265503,negative
0.9986557364463806,positive
0.9966616630554199,negative
0.932262122631073,negative
0.9992098212242126,positive
0.9977311491966248,negative
0.9994466304779053,positive
0.998753547668457,negative
0.9995481371879578,negative
0.6191297173500061,positive
0.9986131191253662,positive
0.9995220303535461,positive
0.9880592226982117,negative
0.9995750188827515,positive
0.9891850352287292,negative
0.9996249079704285,negative
0.8877174854278564,positive
0.8330581784248352,positive
0.9946481585502625,positive
0.9996926188468933,positive
0.9990282654762268,positive
0.9914935827255249,negative
0.9803066849708557,negative
0.9883822202682495,positive
0.9996941685676575,negative
0.9998654723167419,negative
0.9992285966873169,positive
0.5994027853012085,negative
0.9995018243789673,positive
0.9952180981636047,negative
0.9994564056396484,negative
0.5778231024742126,positive
0.9973388910293579,positive
0.9651139974594116,negative
0.997298002243042,positive
0.9996457695960999,positive
0.99916672706604,positive
0.9985057711601257,positive
0.9958977103233337,positive
0.9989309310913086,positive
0.9974201321601868,negative
0.992546796798706,negative
0.9990001320838928,negative
0.9986915588378906,positive
0.9994391798973083,positive
0.9994776248931885,negative
0.999717652797699,negative
0.9994376301765442,positive
0.986987829208374,positive
0.9977883696556091,positive
0.9995843768119812,negative
0.9987425804138184,positive
0.9995229840278625,negative
0.9973082542419434,negative
0.9995750188827515,negative
0.9995906352996826,negative
0.9900639057159424,positive
0.9995180368423462,negative
0.8703441023826599,positive
0.9991000890731812,positive
0.975586473941803,negative
0.9906347393989563,negative
0.9890144467353821,positive
0.9998478889465332,positive
0.9937953352928162,positive
0.9997591972351074,negative
0.9883741736412048,negative
0.9995826482772827,positive
0.9940747022628784,positive
0.9974724650382996,positive
0.9997772574424744,negative
0.9750511646270752,negative
0.9997941851615906,negative
0.9989652037620544,positive
0.5344878435134888,positive
0.9998455047607422,negative
0.7451012134552002,positive
0.9955815672874451,negative
0.9993040561676025,negative
