['MoritzLaurer/deberta-v3-large-zeroshot-v2.0_TREC-perturbed-char-letter-case-changing_score'],['MoritzLaurer/deberta-v3-large-zeroshot-v2.0_TREC-perturbed-char-letter-case-changing_label']
0.9995879530906677,positive
0.9998383522033691,negative
0.9977334141731262,positive
0.9996337294578552,positive
0.9996386766433716,negative
0.9987469911575317,positive
0.9986039400100708,negative
0.9354186058044434,negative
0.9989553689956665,positive
0.99929279088974,negative
0.9993641376495361,positive
0.9997026920318604,negative
0.9995592832565308,negative
0.7352994084358215,positive
0.9997954368591309,negative
0.9996070861816406,positive
0.9865059852600098,negative
0.9996354579925537,positive
0.9915482401847839,negative
0.9997687935829163,negative
0.9338311553001404,positive
0.9143182039260864,positive
0.9982193112373352,positive
0.9993427991867065,positive
0.9993536472320557,positive
0.9861084818840027,negative
0.989151120185852,negative
0.9896848201751709,positive
0.9997588992118835,negative
0.999853253364563,negative
0.9993433356285095,positive
0.9979075789451599,negative
0.9992585182189941,positive
0.9986280202865601,negative
0.9995973110198975,negative
0.9960513710975647,negative
0.9990003108978271,positive
0.9525096416473389,negative
0.9968635439872742,positive
0.9995868802070618,positive
0.9993346333503723,positive
0.998875617980957,positive
0.994667112827301,positive
0.9990766644477844,positive
0.9940536022186279,negative
0.9892420768737793,negative
0.9988974928855896,negative
0.9988577365875244,positive
0.9993904232978821,positive
0.999871015548706,negative
0.9997066259384155,negative
0.9994917511940002,positive
0.9951921701431274,positive
0.998603105545044,positive
0.9995403289794922,negative
0.9988456964492798,positive
0.9991887807846069,negative
0.9790181517601013,negative
0.9980977177619934,negative
0.9995516538619995,negative
0.9850526452064514,positive
0.9994255900382996,negative
0.9289348125457764,positive
0.9996035099029541,positive
0.9885921478271484,negative
0.9776314496994019,negative
0.9892030954360962,positive
0.9998419880867004,positive
0.9980003237724304,positive
0.9997588396072388,negative
0.9853267073631287,negative
0.9997045993804932,positive
0.9991192817687988,positive
0.9888277053833008,positive
0.9998196363449097,negative
0.9953306317329407,positive
0.99979567527771,negative
0.9987846612930298,positive
0.5750156044960022,positive
0.9998541474342346,negative
0.998863697052002,positive
0.9956984519958496,negative
