['MoritzLaurer/deberta-v3-large-zeroshot-v2.0_TREC-perturbed-word-repetition_score'],['MoritzLaurer/deberta-v3-large-zeroshot-v2.0_TREC-perturbed-word-repetition_label']
0.9997180700302124,positive
0.9996970891952515,negative
0.9970239996910095,positive
0.9995930790901184,positive
0.9996517896652222,negative
0.9983481168746948,positive
0.9987070560455322,negative
0.9425984621047974,negative
0.9989023208618164,positive
0.9996075630187988,negative
0.9993028044700623,positive
0.9996850490570068,negative
0.9995406270027161,negative
0.6763888597488403,positive
0.9997796416282654,negative
0.9995539784431458,positive
0.9907058477401733,negative
0.999554455280304,positive
0.9977734088897705,negative
0.9996680617332458,negative
0.9147714376449585,positive
0.8785382509231567,positive
0.9967221617698669,positive
0.9994422793388367,positive
0.9992343187332153,positive
0.9912837147712708,negative
0.9887836575508118,negative
0.9909543991088867,positive
0.9997206926345825,negative
0.9998252391815186,negative
0.999230146408081,positive
0.9977699518203735,negative
0.999700129032135,positive
0.9989705681800842,negative
0.9995025396347046,negative
0.995644211769104,negative
0.9979063272476196,positive
0.9747717380523682,negative
0.9975192546844482,positive
0.9994834065437317,positive
0.9990593791007996,positive
0.9989652037620544,positive
0.9950194954872131,positive
0.9988009929656982,positive
0.9963352680206299,negative
0.9885172247886658,negative
0.9990952014923096,negative
0.9985050559043884,positive
0.9992321133613586,positive
0.9995709657669067,negative
0.999678909778595,negative
0.9995148181915283,positive
0.9953832030296326,positive
0.9979650974273682,positive
0.999546229839325,negative
0.9971697330474854,positive
0.9991443753242493,negative
0.9808400869369507,negative
0.9991437792778015,negative
0.9994891285896301,negative
0.9871901273727417,positive
0.9994460940361023,negative
0.9335494637489319,positive
0.9995056390762329,positive
0.9726157784461975,negative
0.9839872121810913,negative
0.9855743050575256,positive
0.9997615814208984,positive
0.9979056715965271,positive
0.9997323155403137,negative
0.9850730895996094,negative
0.9995640516281128,positive
0.998353123664856,positive
0.9981130361557007,positive
0.9998032450675964,negative
0.9950981140136719,positive
0.9997825622558594,negative
0.9989367723464966,positive
0.5603117346763611,positive
0.9998406767845154,negative
0.9991500377655029,positive
0.9959791898727417,negative
0.9988276958465576,negative
0.9988144040107727,positive
0.9996178150177002,positive
0.997402012348175,positive
0.9995898008346558,negative
0.6304371953010559,positive
0.9959881901741028,negative
0.999549388885498,positive
0.998918890953064,positive
0.9620763659477234,positive
0.9876239895820618,negative
0.9776396155357361,negative
0.9991925954818726,positive
0.5123644471168518,negative
0.8829417824745178,negative
0.9997222423553467,positive
0.9998495578765869,negative
0.9969291687011719,negative
0.9961035251617432,positive
0.9997255206108093,negative
0.6539402008056641,negative
0.9992936849594116,positive
0.980844259262085,positive
0.9986057281494141,negative
0.9991574883460999,positive
0.9995401501655579,negative
0.9991283416748047,negative
0.9993563890457153,positive
0.999726414680481,negative
0.9996446371078491,negative
0.6280056238174438,negative
0.9996970295906067,negative
0.9942306876182556,positive
0.9973200559616089,positive
0.9994068145751953,positive
0.9975946545600891,positive
0.9977103471755981,negative
0.9779677987098694,negative
0.996513843536377,positive
0.994691014289856,negative
0.9997152090072632,positive
0.9976031184196472,positive
0.9715531468391418,positive
0.9997514486312866,positive
0.9963862895965576,negative
0.9978809952735901,negative
0.9986898899078369,positive
0.9994971752166748,positive
0.9996697902679443,negative
0.9970027208328247,negative
0.9993380904197693,positive
0.9989546537399292,negative
0.9997753500938416,negative
0.9870229959487915,negative
0.9602856040000916,negative
0.9998239874839783,negative
0.9995390772819519,positive
0.9732041954994202,negative
0.9989776611328125,negative
0.9988695979118347,negative
0.9997419714927673,positive
0.9947453737258911,positive
0.999720573425293,negative
0.9991717338562012,negative
0.9955452084541321,positive
0.9352172613143921,negative
0.999484658241272,negative
0.9946999549865723,positive
0.9998438358306885,positive
0.9955042004585266,positive
0.9986395239830017,positive
0.9994668960571289,negative
0.9969825148582458,positive
0.9996799230575562,negative
0.9993767142295837,positive
0.9992477893829346,negative
0.9966428875923157,negative
0.9346071481704712,positive
0.9995890855789185,negative
0.9995161890983582,negative
0.9807089567184448,negative
0.998525857925415,negative
0.9972088932991028,positive
0.9984341263771057,negative
0.6214123368263245,positive
0.9642134308815002,negative
0.9996147155761719,positive
0.9996122121810913,positive
0.9996795654296875,positive
0.9601072072982788,positive
0.9983687400817871,positive
0.9964768886566162,negative
0.9982696175575256,positive
0.9978569746017456,positive
0.980911374092102,negative
0.9866690039634705,negative
0.9861000776290894,negative
0.999245285987854,positive
0.995803952217102,negative
0.9994658827781677,negative
0.9989177584648132,negative
0.9579744935035706,positive
0.9991362690925598,negative
0.9996700882911682,positive
0.9983460307121277,positive
0.9949159026145935,positive
0.9998663663864136,negative
0.995274543762207,negative
0.999674916267395,negative
0.999424397945404,positive
0.997350811958313,positive
0.9942167401313782,positive
0.9979637265205383,positive
0.9263002276420593,positive
0.9560255408287048,positive
0.999035120010376,negative
0.9998286962509155,positive
0.9877047538757324,negative
0.9964538216590881,positive
0.9914526343345642,positive
0.7088097333908081,negative
0.9999142289161682,negative
0.9969828724861145,positive
0.9985631704330444,positive
0.9987711906433105,positive
0.9994919896125793,positive
0.975705087184906,negative
0.9996594786643982,negative
0.9997581839561462,positive
0.8602097630500793,negative
0.9996758103370667,negative
0.996152937412262,negative
0.999155580997467,negative
0.9993927478790283,positive
0.9997104406356812,positive
0.9976246953010559,negative
0.9672767519950867,negative
0.9848871827125549,positive
0.8770201802253723,positive
0.9998946189880371,negative
0.9952576160430908,positive
0.995359480381012,positive
0.8981128931045532,positive
0.9911916255950928,positive
0.9998151063919067,negative
0.9989639520645142,positive
0.9979553818702698,positive
0.9778474569320679,negative
0.9918850660324097,negative
0.9969821572303772,positive
0.9873594045639038,negative
0.999668300151825,negative
0.9981600046157837,positive
0.8552556037902832,positive
0.9808574914932251,positive
0.999241292476654,negative
0.9985816478729248,negative
0.9950419068336487,positive
0.9984145760536194,positive
