['MoritzLaurer/deberta-v3-large-zeroshot-v2.0_TREC-perturbed-char-insertion_score'],['MoritzLaurer/deberta-v3-large-zeroshot-v2.0_TREC-perturbed-char-insertion_label']
0.9995607733726501,positive
0.9997957944869995,negative
0.9983391165733337,positive
0.9996441602706909,positive
0.9993792176246643,negative
0.9859288930892944,positive
0.9989140033721924,negative
0.9400179982185364,negative
0.9990339279174805,positive
0.9991239309310913,negative
0.9994783997535706,positive
0.9997121095657349,negative
0.999557614326477,negative
0.6453790068626404,positive
0.9997643828392029,negative
0.9995182752609253,positive
0.9501476287841797,negative
0.999033510684967,positive
0.9990763068199158,negative
0.998963475227356,negative
0.9053373336791992,positive
0.9399795532226562,positive
0.9914240837097168,positive
0.9996336102485657,positive
0.9995262026786804,positive
0.9849785566329956,negative
0.9925196170806885,negative
0.9930170178413391,positive
0.9997671246528625,negative
0.999835729598999,negative
0.9993133544921875,positive
0.9978673458099365,negative
0.9984025955200195,positive
0.9979262948036194,negative
0.9993473887443542,negative
0.997839093208313,negative
0.9988041520118713,positive
0.954623281955719,negative
0.9970795512199402,positive
0.9987612962722778,positive
0.9995229244232178,positive
0.9991918802261353,positive
0.989506185054779,positive
0.9988492727279663,positive
0.9966592192649841,negative
0.9939205646514893,negative
0.999286413192749,negative
0.9987626075744629,positive
0.99848473072052,positive
0.9991264939308167,negative
0.9996675252914429,negative
0.999664306640625,positive
0.9967048168182373,positive
0.9982296228408813,positive
0.9993335604667664,negative
0.9968727827072144,positive
0.999387264251709,negative
0.9435328245162964,negative
0.9991707801818848,negative
0.9994854927062988,negative
0.9930163621902466,positive
0.9994444251060486,negative
0.9335156679153442,positive
0.9994975328445435,positive
0.9785134792327881,negative
0.969374418258667,negative
0.9869595766067505,positive
0.9997829794883728,positive
0.9986634850502014,positive
0.9997234344482422,negative
0.9944376349449158,negative
0.9996805191040039,positive
0.9963804483413696,positive
0.9976400136947632,positive
0.999555766582489,negative
0.9939596652984619,positive
0.7582278251647949,negative
0.9929296374320984,positive
0.7191257476806641,positive
0.9998371601104736,negative
0.9990143179893494,positive
0.9882283210754395,negative
0.9989884495735168,negative
0.9987332224845886,positive
0.9996809959411621,positive
0.9975928664207458,positive
0.9996158480644226,negative
0.8732903003692627,negative
0.9958410859107971,negative
0.9993995428085327,positive
0.9994051456451416,positive
0.9450640082359314,positive
0.9846482276916504,negative
0.9776644110679626,negative
0.9991499781608582,positive
0.713037371635437,positive
0.8338931798934937,negative
0.9997422099113464,positive
0.9998339414596558,negative
0.9966410398483276,negative
0.995895504951477,positive
0.9976750612258911,negative
0.7177826166152954,negative
0.9818680882453918,positive
0.9836083650588989,positive
0.9987116456031799,negative
0.985920250415802,positive
0.9996060132980347,negative
0.9990326166152954,negative
0.9993235468864441,positive
0.9994667768478394,negative
0.9994423389434814,negative
0.9977039694786072,positive
0.9997138381004333,negative
0.995978057384491,positive
0.998357892036438,positive
0.9993970990180969,positive
0.9968621134757996,positive
0.997792661190033,negative
0.9524396061897278,negative
0.9971197247505188,positive
0.9939163327217102,negative
0.9997725486755371,positive
0.9968940019607544,positive
0.9875059127807617,positive
0.9997270107269287,positive
0.9797751307487488,negative
0.9978693723678589,negative
0.998843252658844,positive
0.9995172023773193,positive
0.9996712803840637,negative
0.9962860941886902,negative
0.9992576837539673,positive
0.9989591240882874,negative
0.9997748732566833,negative
0.9936559200286865,negative
0.8521175980567932,negative
0.9996289610862732,negative
0.9995958805084229,positive
0.9709461331367493,negative
0.9990001916885376,negative
0.9991162419319153,negative
0.9994356632232666,positive
0.9772889614105225,positive
0.9997501373291016,negative
0.9983540177345276,negative
0.9989295601844788,positive
0.9915770888328552,negative
0.9991145133972168,negative
0.9952757358551025,positive
0.9997556209564209,positive
0.9932612776756287,positive
0.9984318614006042,positive
0.9996976852416992,negative
0.9963172078132629,positive
0.9996926188468933,negative
0.9991556406021118,positive
0.9995099902153015,negative
0.9964386224746704,negative
0.9271993041038513,positive
0.999129056930542,negative
0.9997178912162781,negative
0.9934207201004028,negative
0.9987396001815796,negative
0.9897122383117676,positive
0.9988014698028564,negative
0.6246129274368286,positive
0.9978473782539368,negative
0.9996617436408997,positive
0.999545156955719,positive
0.998332142829895,positive
0.9728041887283325,positive
0.9990663528442383,positive
0.9973161220550537,negative
0.9981624484062195,positive
0.9984935522079468,positive
0.9843161106109619,negative
0.9898277521133423,negative
0.970598578453064,negative
0.9994415640830994,positive
0.9957783222198486,negative
0.9993792772293091,negative
0.9988117218017578,negative
0.8877623081207275,positive
0.9985445141792297,negative
0.9997237324714661,positive
0.9980647563934326,positive
0.997343122959137,positive
0.9998709559440613,negative
0.9805643558502197,negative
0.9996642470359802,negative
0.9993935227394104,positive
0.9971763491630554,positive
0.9944730401039124,positive
0.997818648815155,positive
0.9246768355369568,positive
0.9222400188446045,positive
0.999519944190979,negative
0.9998298287391663,positive
0.9846847057342529,negative
0.9962238073348999,positive
0.9934802651405334,positive
0.8361554741859436,negative
0.5899010896682739,positive
0.997574508190155,positive
0.53656405210495,negative
0.9991543292999268,positive
0.9992631673812866,positive
0.983278751373291,negative
0.9969943165779114,negative
0.9997574090957642,positive
0.7254102826118469,negative
0.999369204044342,negative
0.9913588762283325,negative
0.9993918538093567,negative
0.9994757175445557,positive
0.9997510313987732,positive
0.9974227547645569,negative
0.9922986626625061,negative
0.9934362769126892,positive
0.9193805456161499,positive
0.9998708367347717,negative
0.9966296553611755,positive
0.9936991333961487,positive
0.9213624596595764,positive
0.9896117448806763,positive
0.999723494052887,negative
