['MoritzLaurer/deberta-v3-large-zeroshot-v2.0_TREC-perturbed-word-ordering_score'],['MoritzLaurer/deberta-v3-large-zeroshot-v2.0_TREC-perturbed-word-ordering_label']
0.9993096590042114,positive
0.9997307062149048,negative
0.9905259013175964,positive
0.9990869164466858,positive
0.9994845390319824,negative
0.9974240660667419,positive
0.999077320098877,negative
0.8798393607139587,negative
0.9970533847808838,positive
0.961012065410614,negative
0.9994833469390869,positive
0.9862213730812073,negative
0.9973448514938354,negative
0.5204524397850037,negative
0.9997987747192383,negative
0.9987596869468689,positive
0.998184859752655,negative
0.996990442276001,positive
0.6193707585334778,negative
0.9996232390403748,negative
0.9289408922195435,positive
0.7592100501060486,positive
0.9952631592750549,positive
0.9988489151000977,positive
0.9993215203285217,positive
0.9818933606147766,negative
0.9863017201423645,negative
0.9950289726257324,positive
0.9996552467346191,negative
0.9998087286949158,negative
0.9958550930023193,positive
0.9505995512008667,negative
0.9973697066307068,positive
0.996921181678772,negative
0.9980711340904236,negative
0.9958967566490173,negative
0.9939702153205872,positive
0.7926549315452576,negative
0.9931710958480835,positive
0.9953600764274597,positive
0.9988774061203003,positive
0.9914129376411438,positive
0.9984750747680664,positive
0.9991456866264343,positive
0.9958842396736145,negative
0.9982709884643555,positive
0.9973702430725098,negative
0.9992528557777405,positive
0.9991605877876282,positive
0.9991916418075562,negative
0.9930903315544128,positive
0.9992169737815857,positive
0.5209523439407349,negative
0.9977757930755615,positive
0.9997038841247559,negative
0.9971005916595459,positive
0.9991015791893005,negative
0.8645358085632324,negative
0.9995625615119934,negative
0.9994995594024658,negative
0.9647142887115479,positive
0.9514135718345642,negative
0.7743033170700073,positive
0.9985359311103821,positive
0.8476078510284424,negative
0.9884673357009888,negative
0.985338568687439,positive
0.9998294115066528,positive
0.9990423917770386,positive
0.9996708035469055,negative
0.9844654202461243,negative
0.9987325072288513,positive
0.9984597563743591,positive
0.8645090460777283,positive
0.9997705221176147,negative
0.996663510799408,positive
0.9991716146469116,negative
0.9989910125732422,positive
0.7415918111801147,positive
0.9998643398284912,negative
0.9969561696052551,positive
0.928181529045105,negative
0.9993916749954224,negative
0.999450147151947,positive
0.9994999170303345,positive
0.9987043738365173,positive
0.9713463187217712,negative
0.6288186311721802,positive
0.9900097250938416,negative
0.9977700114250183,positive
0.8070325255393982,positive
0.9882647395133972,positive
0.9901713132858276,negative
0.973476767539978,negative
0.9991071820259094,positive
0.973997175693512,negative
0.644173800945282,positive
0.994521975517273,positive
0.9997860193252563,negative
0.9096221327781677,negative
0.8912087678909302,negative
0.8604413866996765,positive
0.5511234998703003,negative
0.9980225563049316,positive
0.9895284175872803,positive
0.6317244172096252,positive
0.9772695302963257,positive
0.9992362856864929,negative
0.9991002678871155,negative
0.9996736645698547,positive
0.9989312887191772,negative
0.9822157621383667,negative
0.7722752094268799,positive
0.9994098544120789,negative
0.5441388487815857,negative
0.8363537192344666,positive
0.9771499037742615,positive
0.9980447292327881,positive
0.8324680328369141,positive
0.9954430460929871,negative
0.9969953298568726,positive
0.5966407656669617,positive
0.9996985197067261,positive
0.9030376672744751,positive
0.9969308376312256,positive
0.9997695684432983,positive
0.9957298040390015,negative
0.9884183406829834,negative
0.9988096952438354,positive
0.999140739440918,positive
0.9990645051002502,negative
0.9972366690635681,negative
0.9992492198944092,positive
0.997481107711792,negative
0.9996995329856873,negative
0.9710286855697632,negative
0.9760891795158386,positive
0.999815821647644,negative
0.9994559288024902,positive
0.924793004989624,positive
0.9984198212623596,negative
0.9982671737670898,negative
0.9408851265907288,positive
0.9978758692741394,positive
0.9857010841369629,positive
0.7679356336593628,negative
0.9992656707763672,positive
0.616284191608429,negative
0.9990227818489075,negative
0.996058464050293,positive
0.9998180866241455,positive
0.9969595074653625,positive
0.9967431426048279,positive
0.9996263980865479,negative
