['MoritzLaurer/deberta-v3-large-zeroshot-v2.0_TREC_score'],['MoritzLaurer/deberta-v3-large-zeroshot-v2.0_TREC_label']
0.9996282458305359,positive
0.9997956156730652,negative
0.9979063868522644,positive
0.9995584487915039,positive
0.9995790123939514,negative
0.9987181425094604,positive
0.998471736907959,negative
0.9497042298316956,negative
0.9988551139831543,positive
0.9993152022361755,negative
0.9992843866348267,positive
0.9996960163116455,negative
0.9995113611221313,negative
0.7144662737846375,positive
0.9997815489768982,negative
0.9995226860046387,positive
0.9771114587783813,negative
0.999547004699707,positive
0.9984700679779053,negative
0.9996994137763977,negative
0.9263557195663452,positive
0.8795892000198364,positive
0.9952821731567383,positive
0.9993504285812378,positive
0.9994614720344543,positive
0.9922490119934082,negative
0.9898577332496643,negative
0.9896534085273743,positive
0.9997472763061523,negative
0.9998309016227722,negative
0.9993342161178589,positive
0.9984822869300842,negative
0.9997168183326721,positive
0.9986593723297119,negative
0.9996204972267151,negative
0.9963694214820862,negative
0.9972205758094788,positive
0.9881827235221863,negative
0.9972474575042725,positive
0.9995980262756348,positive
0.9990372061729431,positive
0.9989014863967896,positive
0.9942016005516052,positive
0.9988304376602173,positive
0.9962432980537415,negative
0.9920364022254944,negative
0.9992024898529053,negative
0.9983161091804504,positive
0.9992386102676392,positive
0.9995266199111938,negative
0.9996867179870605,negative
0.9994814991950989,positive
0.9945029020309448,positive
0.9977355003356934,positive
0.9995390772819519,negative
0.9984782338142395,positive
0.9991593956947327,negative
0.9755035042762756,negative
0.9991817474365234,negative
0.9994909167289734,negative
0.9847890138626099,positive
0.9994379281997681,negative
0.9327229261398315,positive
0.9995286464691162,positive
0.9817212224006653,negative
0.9790585041046143,negative
0.9844457507133484,positive
0.9998239278793335,positive
0.998131275177002,positive
0.9997281432151794,negative
0.9886023998260498,negative
0.9996641874313354,positive
0.9989911913871765,positive
0.9982467293739319,positive
0.9998012781143188,negative
0.993971049785614,positive
0.9997895359992981,negative
0.9987958669662476,positive
0.5359032154083252,positive
0.999845564365387,negative
0.9991003274917603,positive
0.9955174326896667,negative
0.9990296959877014,negative
0.9993286728858948,positive
0.9996252059936523,positive
0.9974274635314941,positive
0.9996476173400879,negative
0.7908775210380554,positive
0.9961468577384949,negative
0.9994897246360779,positive
0.9987305998802185,positive
0.9513071179389954,positive
0.990643322467804,negative
0.9674257040023804,negative
0.999118983745575,positive
0.7198224067687988,positive
0.8938907980918884,negative
0.9997504949569702,positive
0.9998430609703064,negative
0.9983562231063843,negative
0.9951081871986389,positive
0.99967360496521,negative
0.6700839996337891,negative
0.9993206262588501,positive
0.9812188148498535,positive
0.998733401298523,negative
0.9991218447685242,positive
0.9996469616889954,negative
0.9990645051002502,negative
0.9994542598724365,positive
0.9997288584709167,negative
0.9996997117996216,negative
0.7792438864707947,positive
0.999703049659729,negative
0.9952499866485596,positive
0.996779203414917,positive
0.9994140863418579,positive
0.9974085092544556,positive
0.9980239868164062,negative
0.9891456365585327,negative
0.9973229765892029,positive
0.9943689703941345,negative
0.9997434020042419,positive
0.9975443482398987,positive
0.9683951139450073,positive
0.9997374415397644,positive
0.9971570372581482,negative
0.9978957176208496,negative
0.9987431168556213,positive
0.9995101690292358,positive
0.9996973872184753,negative
0.9973838925361633,negative
0.9990675449371338,positive
0.9989710450172424,negative
0.9997848272323608,negative
0.9903954267501831,negative
0.9578830003738403,negative
0.9998236894607544,negative
0.9995813369750977,positive
0.9643188118934631,negative
0.9992160201072693,negative
0.9990956783294678,negative
0.9997467398643494,positive
0.9953924417495728,positive
0.9996964931488037,negative
0.9991039037704468,negative
0.997710108757019,positive
0.9507085084915161,negative
0.9992080926895142,negative
0.9952917098999023,positive
0.9998244643211365,positive
0.995206356048584,positive
0.9984605312347412,positive
0.9995255470275879,negative
0.9975465536117554,positive
0.9996437430381775,negative
0.9994104504585266,positive
0.9992594718933105,negative
0.996839165687561,negative
0.9760815501213074,positive
0.9995161294937134,negative
0.999707818031311,negative
0.9813113808631897,negative
0.9984614253044128,negative
0.9966830611228943,positive
0.9983415007591248,negative
0.6218815445899963,positive
0.9546201229095459,negative
0.9995941519737244,positive
0.9995716214179993,positive
0.9997050166130066,positive
0.9554970860481262,positive
0.9985840916633606,positive
0.9976122379302979,negative
0.9982634782791138,positive
0.9983367323875427,positive
0.9908238053321838,negative
0.9826008677482605,negative
0.9903436303138733,negative
0.9993070960044861,positive
0.9850586652755737,negative
0.999480128288269,negative
0.9987244606018066,negative
0.9312506318092346,positive
0.9990525245666504,negative
0.9996377229690552,positive
0.9979612231254578,positive
0.9963173270225525,positive
0.9998621940612793,negative
0.9940233826637268,negative
0.99969083070755,negative
0.9994048476219177,positive
0.9974600672721863,positive
0.9946850538253784,positive
0.9983832836151123,positive
0.9225912094116211,positive
0.9699071645736694,positive
0.9994544386863708,negative
0.9998314380645752,positive
0.9861263632774353,negative
0.9966005086898804,positive
0.9922495484352112,positive
0.5795345306396484,negative
0.9999099373817444,negative
0.9979990124702454,positive
0.9982163906097412,positive
0.998722493648529,positive
0.9996263980865479,positive
0.9755102396011353,negative
0.9996790289878845,negative
0.9997378587722778,positive
0.8386915922164917,negative
0.999622642993927,negative
0.995537281036377,negative
0.9992977380752563,negative
0.9990283250808716,positive
0.9997201561927795,positive
0.9972544312477112,negative
0.979210376739502,negative
0.9929248094558716,positive
0.8744465112686157,positive
0.9998841285705566,negative
0.9950786828994751,positive
0.9951087832450867,positive
0.819320559501648,positive
0.9882038235664368,positive
0.9997899532318115,negative
0.9993388652801514,positive
0.9980065822601318,positive
0.9990473985671997,negative
0.9860357046127319,negative
0.9978907704353333,positive
0.9869963526725769,negative
0.9997255802154541,negative
0.9978678226470947,positive
0.882196307182312,positive
0.986741840839386,positive
0.9994403123855591,negative
0.9979830384254456,negative
0.9958198666572571,positive
0.9985492825508118,positive
0.9975481629371643,negative
0.9991964101791382,negative
0.8158155679702759,positive
0.9998263716697693,positive
0.9994269013404846,positive
0.9987007975578308,positive
0.9994581937789917,negative
0.9967265129089355,positive
0.9172265529632568,negative
0.9992831945419312,positive
0.9990499019622803,negative
0.99882572889328,positive
0.9978581666946411,positive
0.9997764825820923,negative
0.9952763319015503,negative
0.9986809492111206,negative
0.9981355667114258,negative
0.9995144009590149,negative
0.9967725872993469,positive
0.7004896998405457,negative
0.9966585040092468,positive
0.9997305870056152,negative
0.9992116689682007,positive
0.6968370676040649,negative
0.9992652535438538,negative
0.7749080061912537,negative
0.9942950010299683,negative
0.9997951984405518,negative
0.9997972846031189,negative
0.9976151585578918,positive
0.988387405872345,negative
0.9991477131843567,negative
0.6609359383583069,negative
0.9983848333358765,negative
0.9990584850311279,positive
0.9989463686943054,positive
0.9979743957519531,positive
0.9948480725288391,negative
0.742089033126831,positive
0.9994934797286987,positive
0.9998221397399902,negative
0.9989460706710815,negative
0.9991332292556763,positive
0.9464462995529175,negative
0.9977246522903442,negative
0.9991555213928223,positive
0.9994994401931763,positive
0.9990769028663635,positive
0.6733617782592773,positive
0.9988653659820557,positive
0.9991469979286194,negative
0.8238767385482788,positive
0.9987139105796814,positive
0.9997896552085876,positive
0.9611654281616211,positive
0.9967449903488159,negative
0.8203094005584717,positive
0.9977337718009949,negative
0.9944466948509216,positive
0.9991536140441895,positive
0.9798308610916138,negative
0.999555766582489,positive
0.9995085000991821,positive
0.9995535016059875,positive
0.9983826875686646,negative
0.9978708028793335,positive
0.9994723796844482,positive
0.9791751503944397,positive
0.9995673894882202,positive
0.9487623572349548,positive
0.9997795820236206,positive
0.8294529318809509,positive
0.999728798866272,positive
0.998529314994812,positive
0.999776303768158,negative
0.999577522277832,positive
0.9994583129882812,positive
0.9993390440940857,negative
0.9997304677963257,negative
0.9994969367980957,positive
0.5553026795387268,negative
0.5162731409072876,positive
0.9581367373466492,positive
0.9736546874046326,negative
0.9952009916305542,positive
0.9951491951942444,positive
0.999528706073761,positive
0.9997879862785339,negative
0.9998694062232971,negative
0.987969160079956,negative
0.9874239563941956,positive
0.9969872832298279,positive
0.9799104928970337,positive
0.9992998838424683,positive
0.9992203712463379,negative
0.9997916221618652,positive
0.999289333820343,negative
0.9994380474090576,negative
0.9990010857582092,positive
0.9998481273651123,negative
0.9966778755187988,positive
0.9997758269309998,negative
0.9998303055763245,negative
0.996567964553833,positive
0.999680757522583,positive
0.9998742938041687,negative
0.9982501864433289,negative
0.9998626708984375,negative
0.9996656179428101,negative
0.999426007270813,negative
0.9991598129272461,positive
0.9962040185928345,positive
0.9998300671577454,positive
0.9975044131278992,positive
0.9991457462310791,negative
0.9986903667449951,negative
0.9908801317214966,negative
0.8132539391517639,negative
0.9986668825149536,positive
0.9996841549873352,positive
0.9998067021369934,negative
0.9922599792480469,positive
0.9994799494743347,negative
0.9992513656616211,negative
0.9989014267921448,negative
0.9997362494468689,positive
0.9989168643951416,positive
0.9997392892837524,negative
0.9995071291923523,positive
0.9996602535247803,negative
0.9994228482246399,positive
0.9985751509666443,positive
0.9992245435714722,negative
0.9981848001480103,negative
0.9972360134124756,positive
0.9985067248344421,negative
0.8955147862434387,positive
0.9995018839836121,negative
0.9992195963859558,negative
0.9997193217277527,negative
0.9995905756950378,positive
0.9983283281326294,negative
0.9980020523071289,positive
0.9967040419578552,negative
0.9944152235984802,negative
0.999754011631012,positive
0.9948799014091492,positive
0.830032229423523,negative
0.9943540096282959,positive
0.9991424083709717,negative
0.9986388683319092,negative
0.9997622966766357,negative
0.9990981817245483,positive
0.9993749856948853,positive
0.999579668045044,negative
0.999659538269043,positive
0.9983702898025513,positive
0.9359289407730103,positive
0.9631131887435913,negative
0.9996358156204224,positive
0.987040102481842,positive
0.9988210201263428,negative
0.9978218078613281,negative
0.9994822144508362,positive
0.6859441995620728,negative
0.9966157078742981,positive
0.999065101146698,negative
0.9986386895179749,negative
0.9998706579208374,negative
0.9951381087303162,positive
0.9922017455101013,negative
0.9988269805908203,negative
0.999697208404541,negative
0.9994724988937378,positive
0.9995012879371643,positive
0.9972233772277832,positive
0.9946122169494629,positive
0.9967347979545593,positive
0.9981940388679504,negative
0.9958745837211609,negative
0.9988751411437988,positive
0.5696794390678406,negative
0.9939640760421753,negative
0.9977512955665588,positive
0.9679120182991028,positive
0.9986231923103333,positive
0.9989367723464966,positive
0.9997543096542358,positive
0.9998536705970764,negative
0.9985216856002808,positive
